Time	gauge_0	gauge_1	gauge_2	gauge_3	gauge_4	gauge_5	gauge_6	gauge_7	gauge_8	gauge_9	gauge_10	gauge_11	gauge_12	gauge_13	gauge_14	gauge_15	gauge_16	gauge_17
-1	-150	-100	-50	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700
-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-3	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.1	6.3891752e-05	4.365695e-05	3.0399209e-05	2.1732692e-05	1.5621616e-05	1.1161992e-05	0.034507855	5.9917714e-06	-0.080495369	-0.037812653	2.2681455e-06	1.6012976e-06	0.31050069	6.4942439e-07	-0.011499653	-0.026499876	3.923428e-08	2.0278978e-09
0.2	0.00027354169	0.00018671113	0.00013033184	9.287651e-05	6.667715e-05	4.7886523e-05	0.034533447	2.5449701e-05	-0.080479913	-0.037802103	9.6736719e-06	6.6974837e-06	0.31050267	2.3751787e-06	-0.011498857	-0.026499647	9.9131769e-08	4.6909872e-09
0.3	0.00064927566	0.00044221173	0.00030846831	0.00021958756	0.0001576036	0.00011333464	0.034579121	6.0278594e-05	-0.080452103	-0.037783079	2.290247e-05	1.5568018e-05	0.31050597	5.0733388e-06	-0.011497685	-0.026499316	1.8865644e-07	8.9182546e-09
0.4	0.0011892407	0.00080798858	0.00056279026	0.00040049733	0.00028745948	0.00020673478	0.034644529	0.00011033646	-0.080412157	-0.037755583	4.1962473e-05	2.8209312e-05	0.31051063	8.8522739e-06	-0.011496012	-0.026498814	3.3486522e-07	1.5820863e-08
0.5	0.0018775769	0.0012738427	0.00088721593	0.0006307783	0.00045261573	0.00032593347	0.034727558	0.00017373312	-0.080360955	-0.037720812	6.5709426e-05	4.3575892e-05	0.31051598	1.2958503e-05	-0.011494355	-0.026498392	4.3112972e-07	1.9312267e-08
0.6	0.0027375481	0.0018539584	0.0012905617	0.00091691801	0.00065783289	0.00047409437	0.034830867	0.00025273607	-0.080297094	-0.037677596	9.4831283e-05	6.1924496e-05	0.3105221	1.7389091e-05	-0.011492697	-0.026498012	5.121602e-07	2.2655742e-08
0.7	0.0037817928	0.0025558193	0.0017777646	0.001262303	0.00090552541	0.0006530215	0.034955721	0.00034835864	-0.080219665	-0.0376254	0.00012955074	8.3238088e-05	0.31052891	2.2045553e-05	-0.011491078	-0.026497669	5.8205925e-07	2.5489991e-08
0.8	0.0050204937	0.0033850133	0.0023523228	0.0016693224	0.0011974093	0.00086398978	0.03510307	0.00046140086	-0.080127979	-0.037563828	0.00016995887	0.00010738231	0.3105363	2.680582e-05	-0.011489536	-0.026497361	6.4373347e-07	2.8044903e-08
0.9	0.0064612717	0.0043451844	0.0030163623	0.0021393688	0.0015344817	0.0011077715	0.035273502	0.00059238411	-0.080021557	-0.037492663	0.00021600674	0.00013412984	0.31054412	3.1552965e-05	-0.011488099	-0.026497089	6.9735061e-07	3.02158e-08
1	0.0081088895	0.005437825	0.0037704222	0.0026727333	0.0019169591	0.0013845535	0.03546723	0.00074156111	-0.079900175	-0.037411856	0.00026751681	0.00016317323	0.31055224	3.617449e-05	-0.011486793	-0.026496855	7.4241286e-07	3.200711e-08
1.1	0.0099664619	0.0066630981	0.0046140877	0.003269005	0.0023445511	0.0016941706	0.035684214	0.00090898666	-0.079763769	-0.03732149	0.00032421937	0.00019416285	0.31056048	4.0579406e-05	-0.011485629	-0.026496654	7.8017766e-07	3.3518276e-08
1.2	0.012037815	0.0080215196	0.0055471689	0.0039279072	0.0028170625	0.0020365355	0.035924472	0.0010947561	-0.079612255	-0.037221645	0.00038584957	0.00022678102	0.31056876	4.4725505e-05	-0.011484596	-0.026496479	8.1434107e-07	3.4974253e-08
1.3	0.014328093	0.0095143662	0.0065700752	0.0046495828	0.0033346012	0.002411784	0.036188148	0.0012990493	-0.079445489	-0.037112377	0.0004521715	0.00026076406	0.31057698	4.8615318e-05	-0.011483663	-0.026496318	8.4722405e-07	3.6404247e-08
1.4	0.016840179	0.01114113	0.0076818578	0.0054333052	0.0038966513	0.0028195735	0.036475075	0.0015218106	-0.079263507	-0.036993863	0.00052287724	0.00029582929	0.31058507	5.2243908e-05	-0.01148282	-0.026496174	8.7581504e-07	3.7543527e-08
1.5	0.019576272	0.012900543	0.0088810472	0.0062778722	0.0045023644	0.0032593607	0.036784952	0.0017628922	-0.079066447	-0.036866339	0.00059763448	0.00033169764	0.31059298	5.560218e-05	-0.011482067	-0.026496047	9.0050802e-07	3.8560172e-08
1.6	0.022537657	0.014791025	0.010165909	0.0071819093	0.0051507627	0.0037304957	0.037117394	0.0020220746	-0.078854512	-0.036730092	0.00067608274	0.00036809301	0.31060062	5.8683358e-05	-0.011481401	-0.026495939	9.2075953e-07	3.931204e-08
1.7	0.025726992	0.016810501	0.011534321	0.0081437686	0.0058406674	0.0042321808	0.037471914	0.0022990537	-0.078627972	-0.036585449	0.00075785714	0.00040477092	0.31060798	6.1495534e-05	-0.011480817	-0.026495844	9.391136e-07	4.0129272e-08
